rec_id,check,name,phone,place_id,url,memo,enable
89,,Cafe&bar Village,03-6276-0510,ChIJvf8TcpONGGAR84q50OtbOrg,https://www.google.com/maps/place/?q=place_id:ChIJvf8TcpONGGAR84q50OtbOrg,,true
67,,ベックスコーヒーショップ相鉄フレッサイン横浜駅東口店,080-3910‐8835,ChIJXxgToNJdGGARVe7eDvPDAxQ,https://www.google.com/maps/place/?q=place_id:ChIJXxgToNJdGGARVe7eDvPDAxQ,,true
85,,AMAZINGSPACE.,03-6811-2933,ChIJwU2LZ2iLGGARSWuS27ZrE94,https://www.google.com/maps/place/?q=place_id:ChIJwU2LZ2iLGGARSWuS27ZrE94,,true
7,,ベックスコーヒーショップ 横浜中央口店,090-1735-9374,ChIJJ51FrRNcGGARUJKF50WYiGw,https://www.google.com/maps/place/?q=place_id:ChIJJ51FrRNcGGARUJKF50WYiGw,,true
111,,甲州天山,03-3551-4431,ChIJJUAxVlmJGGAR5RM8SdwABuM,https://www.google.com/maps/place/?q=place_id:ChIJJUAxVlmJGGAR5RM8SdwABuM,,true
13,,Railway Club大宮店,048-650-0895,ChIJ89ZXhbzBGGARrzQPJRQXQv0,https://www.google.com/maps/place/?q=place_id:ChIJ89ZXhbzBGGARrzQPJRQXQv0,,true
14,,The DECK,06-6125-5627,ChIJx-SqXx_nAGAR30DdSJLf9-w,https://www.google.com/maps/place/?q=place_id:ChIJx-SqXx_nAGAR30DdSJLf9-w,,true
17,,パセラのコワーク 東神田店,03-5835-0361,ChIJFwx_0fyPGGARTrTKI-yj2Go,https://www.google.com/maps/place/?q=place_id:ChIJFwx_0fyPGGARTrTKI-yj2Go,,true
18,,コワーキングスペース7F（ナナエフ）,048-729-5197,ChIJ6TGrWEHBGGARo1GE_tbF0Jc,https://www.google.com/maps/place/?q=place_id:ChIJ6TGrWEHBGGARo1GE_tbF0Jc,,true
112,,SugarSpoon 日本橋本店,03-3516-8660,ChIJ2abNBViJGGARLX0KRjELh4M,https://www.google.com/maps/place/?q=place_id:ChIJ2abNBViJGGARLX0KRjELh4M,,true
356,,BIRTH LAB,080-3547-0544,ChIJW9o786GLGGARcfYy0TQpPLY,https://www.google.com/maps/place/?q=place_id:ChIJW9o786GLGGARcfYy0TQpPLY,,true
15,,Think Lab 汐留店,0,,,,false
29,,パセラリゾーツ池袋西口店,0120-706-731,ChIJSzkP9V6NGGARoIhTEuwBqPQ,https://www.google.com/maps/place/?q=place_id:ChIJSzkP9V6NGGARoIhTEuwBqPQ,,false
46,,パセラのコワークサテライト安心お宿荻窪店,0120-083-926,,,,false
47,,おしごとお宿秋葉原電気街店,0120-083-489,,,,true
53,,コワーキングスペース Basis Point 五反田店,03-45316668,ChIJQUKHifmKGGARS6wgKN15tlY,https://www.google.com/maps/place/?q=place_id:ChIJQUKHifmKGGARS6wgKN15tlY,,true
162,,テレキューブ 西武鉄道 所沢駅 改札内 コンコース(11-01),0120-595-656,ChIJ0WLUFGLnGGARyqMQb2VBToU,https://www.google.com/maps/place/?q=place_id:ChIJ0WLUFGLnGGARyqMQb2VBToU,,true
69,,BeSmart水道橋,03-3518-9537,ChIJScI3Vn6NGGARFJMnRiqBFHI,https://www.google.com/maps/place/?q=place_id:ChIJScI3Vn6NGGARFJMnRiqBFHI,,true
91,,AKASAKAダイニング,03-6426-5772,ChIJiySpgZqLGGARGDaXGJUvlmA,https://www.google.com/maps/place/?q=place_id:ChIJiySpgZqLGGARGDaXGJUvlmA,,true
92,,粋な肉　船橋店,047-411-1355,ChIJJ-pgzCaBGGARsS7QkWAwgkY,https://www.google.com/maps/place/?q=place_id:ChIJJ-pgzCaBGGARsS7QkWAwgkY,,true
113,,Oh!tuka Rocky,03-6903-6966,ChIJlwYpyMONGGARpNsxbXdSx3s,https://www.google.com/maps/place/?q=place_id:ChIJlwYpyMONGGARpNsxbXdSx3s,,false
16,,パセラのコワーク 東新宿店,0120-759-589,ChIJOyHYrt-MGGARHEPXTfiPYjQ,https://www.google.com/maps/place/?q=place_id:ChIJOyHYrt-MGGARHEPXTfiPYjQ,,true
49,,おしごとお宿名古屋栄店,0120-083-758,ChIJe93iIeNxA2ARLgxjVLh2xvQ,https://www.google.com/maps/place/?q=place_id:ChIJe93iIeNxA2ARLgxjVLh2xvQ,,true
55,,コワーキングスペース Basis Point 池袋店,0345316668,ChIJdX5h32eNGGARof_Sn3IDOM0,https://www.google.com/maps/place/?q=place_id:ChIJdX5h32eNGGARof_Sn3IDOM0,,true
126,,Cony&toad,045-211-6383,ChIJ086wiE9dGGARDKeKGd4rwcQ,https://www.google.com/maps/place/?q=place_id:ChIJ086wiE9dGGARDKeKGd4rwcQ,,true
24,,おしごとパセラ渋谷店,0120-992-740,ChIJPa6Iv9SNGGAR2ZvkiDbKnHQ,https://www.google.com/maps/place/?q=place_id:ChIJPa6Iv9SNGGAR2ZvkiDbKnHQ,,true
114,,Workmedi新宿,03-6890-0303,ChIJP3y7O06NGGARQeZGqRE8W2Y,https://www.google.com/maps/place/?q=place_id:ChIJP3y7O06NGGARQeZGqRE8W2Y,,true
70,,テスト店舗山本,0000000000,,,,false
31,,パセラリゾーツ上野御徒町店,0120-706-737,ChIJAzrCCyCMGGARLRUSKGnD49Q,https://www.google.com/maps/place/?q=place_id:ChIJAzrCCyCMGGARLRUSKGnD49Q,,false
45,,パセラのコワークサテライト安心お宿新橋汐留店,0120-083-485,,,,false
324,,ジラフモノクローム,093-531-1531,ChIJ9RjpcE2_QzURuvacZt2KCQY,https://www.google.com/maps/place/?q=place_id:ChIJ9RjpcE2_QzURuvacZt2KCQY,,true
351,,熊谷オフィス,048-594-7005,ChIJBUS_sb4pH2ARvwnCsV9ThhE,https://www.google.com/maps/place/?q=place_id:ChIJBUS_sb4pH2ARvwnCsV9ThhE,,true
128,,OTEMAE space,06-4309-6825,ChIJLc_ozv3nAGAR34mWSd65XJw,https://www.google.com/maps/place/?q=place_id:ChIJLc_ozv3nAGAR34mWSd65XJw,,true
22,,パセラリゾーツ赤坂店,0120-759-926,,,,false
51,,パセラ珈琲　南池袋店,0120-759-821,ChIJ1VNIFWqNGGARATu4Q9vbCfA,https://www.google.com/maps/place/?q=place_id:ChIJ1VNIFWqNGGARATu4Q9vbCfA,,false
6,,ベックスコーヒーショップ 横浜北口店,090-6490-4367,,,,false
23,,おしごとパセラ六本木店,0120-911-086,ChIJTXMYkXyLGGARhH5Md-bTruo,https://www.google.com/maps/place/?q=place_id:ChIJTXMYkXyLGGARhH5Md-bTruo,,true
38,,おしごとパセラなんば道頓堀店,0120-708-759,ChIJq6carpjnAGARWfKdoAYF44Y,https://www.google.com/maps/place/?q=place_id:ChIJq6carpjnAGARWfKdoAYF44Y,,true
52,,コワーキングスペース Basis Point 新橋店,03-4531-6668,ChIJfa1VN-iLGGAR7ZYX_inXYRU,https://www.google.com/maps/place/?q=place_id:ChIJfa1VN-iLGGAR7ZYX_inXYRU,,true
77,,aragan,058-295-5355,ChIJFTQ67d2rA2ARuPdxCrecd68,https://www.google.com/maps/place/?q=place_id:ChIJFTQ67d2rA2ARuPdxCrecd68,,true
345,,川崎アントレサロン,04-4244-7340,ChIJSScFZ5hgGGARKXqH6iatWiI,https://www.google.com/maps/place/?q=place_id:ChIJSScFZ5hgGGARKXqH6iatWiI,,true
346,,大宮アントレサロン,04-8778-7601,ChIJKfDUOALBGGARyJ0zD64nGeM,https://www.google.com/maps/place/?q=place_id:ChIJKfDUOALBGGARyJ0zD64nGeM,,true
100,,Work＆Study space 綱島デスク,045-633-1637,ChIJ4VIHfSdfGGAR_ypt2fNBqvg,https://www.google.com/maps/place/?q=place_id:ChIJ4VIHfSdfGGAR_ypt2fNBqvg,,true
36,,おしごとパセラ 横浜ハマボールイアス店,0120-184-458,ChIJNYMExR9dGGARwmkBbPaLC_E,https://www.google.com/maps/place/?q=place_id:ChIJNYMExR9dGGARwmkBbPaLC_E,,true
20,,おしごとパセラ銀座店,0120-759-418,ChIJ15AYTTOLGGARAnGAhXH8d74,https://www.google.com/maps/place/?q=place_id:ChIJ15AYTTOLGGARAnGAhXH8d74,,true
4,,ベックスコーヒーショップ 四ツ谷店,080-4123-1887,,,,false
64,,5CROSSTIES COFFEE　エキュート上野店　,03-5246-6781,ChIJ_W3XHrSPGGARp7ABkJHaXPM,https://www.google.com/maps/place/?q=place_id:ChIJ_W3XHrSPGGARp7ABkJHaXPM,,true
66,,ベックスコーヒーショップ 信濃町店,090-9829-3144,ChIJz-L56UKNGGAR03mN6iKd0_A,https://www.google.com/maps/place/?q=place_id:ChIJz-L56UKNGGAR03mN6iKd0_A,,true
